Source,Target,Weight
CSMT,DR,49
DR,TNA,35
TNA,PNVL,40
PNVL,MNI,5
MNI,KHED,3
KHED,CHI,10
CHI,SGR,3
SGR,RN,4
RN,ADVI,2
ADVI,RAJP,1
RAJP,VBW,5
VBW,KKW,2
KKW,SNDD,5
SNDD,KUDL,5
KUDL,SWV,5
SWV,PERN,2
PERN,THVM,7
THVM,KRMI,13
KRMI,MAO,10
MAO,KRMI,11
KRMI,THVM,13
THVM,PERN,7
PERN,SWV,2
SWV,KUDL,6
KUDL,SNDD,6
SNDD,KKW,6
KKW,VBW,3
VBW,RAJP,6
RAJP,ADVI,1
ADVI,RN,2
RN,SGR,5
SGR,CHI,4
CHI,KHED,9
KHED,MNI,3
MNI,PNVL,4
PNVL,TNA,41
TNA,DR,38
DR,CSMT,49
TNA,KYN,55
KYN,IGP,33
IGP,NK,25
NK,MMR,37
MMR,JL,18
JL,BSL,66
BSL,MKU,23
MKU,SEG,8
SEG,AK,17
AK,MZR,15
MZR,BD,15
BD,DMN,10
DMN,PLO,16
PLO,WR,16
WR,NGP,23
RN,VID,1
VID,RAJP,2
RAJP,VID,2
VID,RN,1
MAO,KAWR,21
KAWR,BTJL,3
BTJL,UD,3
UD,MAJN,21
MAJN,KGQ,20
KGQ,CAN,15
CAN,CLT,16
CLT,TIR,18
TIR,SRR,18
SRR,TCR,33
TCR,AWY,57
AWY,ERS,27
ERS,AWY,34
AWY,TCR,55
TCR,SRR,33
SRR,TIR,18
TIR,CLT,19
CLT,CAN,16
CAN,KGQ,16
KGQ,MAJN,21
MAJN,UD,21
UD,BTJL,3
BTJL,KAWR,3
KAWR,MAO,21
LTT,TNA,41
PNVL,ROHA,13
ROHA,KHED,5
CHI,RN,22
RN,KKW,14
KKW,KUDL,7
KUDL,KKW,6
KKW,RN,13
RN,CHI,20
KHED,ROHA,4
ROHA,PNVL,12
TNA,LTT,43
KUDL,THVM,10
SWV,THVM,4
THVM,SWV,5
SNSI,PB,10
PB,BAP,3
BAP,ANG,16
ANG,DD,26
DD,BGVN,6
BGVN,PRWD,1
PRWD,JEUR,1
JEUR,KEM,3
KEM,KWV,3
KWV,MLB,4
MLB,PVR,7
PVR,MLB,7
MLB,KWV,5
KWV,KEM,3
KEM,JEUR,3
JEUR,PRWD,1
PRWD,BGVN,1
BGVN,DD,6
DD,ANG,27
ANG,BAP,16
BAP,PB,4
PB,SNSI,10
ROHA,MNI,1
MNI,VEER,1
VEER,KHED,1
CHI,SVX,1
SVX,AVRD,3
AVRD,SGR,3
ADVI,VID,1
VBW,NAN,3
NAN,KKW,3
KKW,NAN,3
NAN,VBW,3
VID,ADVI,1
SGR,AVRD,3
AVRD,SVX,3
SVX,CHI,1
KHED,VEER,1
VEER,MNI,1
MNI,ROHA,2
DR,KYN,19
KYN,KJT,31
KJT,LNL,33
LNL,PUNE,39
PUNE,STR,18
STR,KRD,13
KRD,TKR,4
TKR,SLI,2
SLI,MRJ,18
MRJ,KUD,7
KUD,GPB,5
GPB,BGM,11
BGM,LD,13
LD,LWR,9
LWR,DWR,9
DWR,UBL,27
UBL,HVR,16
HVR,RNR,15
RNR,HRR,17
HRR,DVG,26
DVG,RRB,15
RRB,DRU,22
DRU,ASK,14
ASK,TTR,18
TTR,TK,16
TK,YPR,27
YPR,BAND,11
BAND,KJM,8
KJM,BWT,27
BWT,JTJ,14
JTJ,KPD,64
KPD,VLR,10
VLR,ARV,5
ARV,PRL,6
PRL,TNM,3
TNM,TRK,4
TRK,VM,4
VM,PDY,10
PDY,VM,10
VM,TRK,4
TRK,TNM,4
TNM,PRL,3
PRL,ARV,5
ARV,VLR,5
VLR,KPD,8
KPD,JTJ,61
JTJ,BWT,13
BWT,KJM,25
KJM,BAND,8
BAND,YPR,12
YPR,TK,28
TK,TTR,17
TTR,ASK,19
ASK,DRU,15
DRU,RRB,22
RRB,DVG,14
DVG,HRR,25
HRR,RNR,17
RNR,HVR,16
HVR,UBL,16
UBL,DWR,27
DWR,LWR,11
LWR,LD,11
LD,BGM,13
BGM,GPB,11
GPB,KUD,5
KUD,MRJ,7
MRJ,SLI,16
SLI,TKR,2
TKR,KRD,4
KRD,STR,13
STR,PUNE,16
PUNE,LNL,47
LNL,KYN,20
KYN,DR,19
KYN,NRL,2
NRL,KJT,2
KJT,KAD,7
KAD,LNL,8
LNL,TGN,4
TGN,KK,1
KK,SVJR,29
SVJR,PUNE,35
PUNE,SVJR,27
SVJR,KK,28
KK,TGN,1
TGN,LNL,4
LNL,KAD,9
KAD,KJT,8
KJT,KYN,25
KYN,TNA,61
LNL,CCH,5
CCH,PMP,26
PMP,KK,4
KK,PMP,2
PMP,CCH,26
CCH,LNL,5
KYN,LNL,12
PUNE,KWV,4
KWV,BTW,5
BTW,UMD,5
UMD,LUR,6
LUR,LTRR,9
LTRR,PNF,2
PNF,PRLI,3
PRLI,GNH,8
GNH,PBN,8
PBN,PAU,25
PAU,NED,34
NED,PAU,34
PAU,PBN,25
PBN,GNH,8
GNH,PRLI,8
PRLI,PNF,3
PNF,LTRR,2
LTRR,LUR,10
LUR,UMD,7
UMD,BTW,6
BTW,KWV,6
KWV,PUNE,4
KYN,PUNE,4
KWV,SUR,15
SUR,DUD,3
DUD,GUR,4
GUR,GR,6
GR,SDB,16
SDB,WADI,22
WADI,YG,12
YG,KSN,2
KSN,RC,6
RC,MALM,26
MALM,AD,22
AD,GTL,25
GTL,GY,26
GY,KLU,1
KLU,ATP,1
ATP,DMM,38
DMM,SSPN,10
SSPN,HUP,2
HUP,GBD,10
GBD,BNCE,1
BNCE,SBC,1
SBC,BNC,43
BNC,HSRA,2
HSRA,DPJ,9
DPJ,OML,1
OML,SA,5
SA,ED,82
ED,TUP,75
TUP,CBE,65
CBE,TUP,68
TUP,ED,74
ED,SA,81
SA,OML,5
OML,DPJ,1
DPJ,HSRA,9
HSRA,SBC,1
BNC,GBD,1
GBD,HUP,10
HUP,SSPN,2
SSPN,DMM,10
DMM,ATP,38
ATP,KLU,1
KLU,GY,1
GY,GTL,25
GTL,AD,26
AD,MALM,24
MALM,RC,27
RC,KSN,7
KSN,YG,3
YG,WADI,13
WADI,SDB,22
SDB,GR,16
GR,GUR,6
GUR,DUD,4
DUD,SUR,3
SUR,KWV,16
KWV,DD,13
DD,PUNE,43
PUNE,KYN,3
KYN,KSRA,12
KSRA,IGP,13
IGP,DVL,19
DVL,NK,22
MMR,NGN,8
NGN,CSN,8
CSN,PC,9
PC,JL,10
BSL,RV,5
RV,BAU,6
BAU,NPNR,8
NPNR,KNW,8
KNW,KKN,3
KKN,HD,7
HD,TBN,7
TBN,ET,2
ET,HBD,23
HBD,MDDP,1
MDDP,HBJ,3
HBJ,BPL,36
BPL,BHS,25
BHS,BAQ,20
BAQ,BINA,14
BINA,LAR,16
LAR,BAB,5
BAB,JHS,11
JHS,CGN,5
CGN,AIT,1
AIT,ORAI,5
ORAI,KPI,5
KPI,PHN,5
PHN,BZM,2
BZM,CNB,4
CNB,ON,36
ON,LKO,19
LKO,BBK,27
BBK,GD,20
GD,MUR,25
MUR,BV,3
BV,BST,10
BST,KLD,29
KLD,GKP,25
GKP,KLD,25
KLD,BST,30
BST,BV,9
BV,MUR,3
MUR,GD,26
GD,BBK,20
BBK,LKO,25
LKO,ON,19
ON,CNB,36
CNB,BZM,4
BZM,PHN,2
PHN,KPI,4
KPI,ORAI,4
ORAI,AIT,5
AIT,CGN,1
CGN,JHS,5
JHS,BAB,11
BAB,LAR,5
LAR,BINA,16
BINA,BAQ,14
BAQ,BHS,20
BHS,BPL,25
BPL,HBJ,36
HBJ,MDDP,3
MDDP,HBD,1
HBD,ET,23
ET,TBN,2
TBN,HD,6
HD,KKN,7
KKN,KNW,3
KNW,NPNR,8
NPNR,BAU,8
BAU,RV,6
RV,BSL,5
BSL,JL,65
JL,PC,9
PC,CSN,8
CSN,NGN,8
NGN,MMR,8
MMR,NK,38
NK,DVL,22
DVL,IGP,19
IGP,KYN,39
PUNE,SUR,14
SUR,GR,25
GR,WADI,15
YG,RC,16
MALM,GTL,5
GY,TU,17
TU,YA,8
YA,HX,18
HX,RU,4
RU,AJJ,5
AJJ,MS,1
MS,TBM,30
TBM,CGL,58
CGL,VM,16
VM,TDPR,10
TDPR,CDM,5
CDM,SY,12
SY,MV,10
MV,TVR,2
