Source,Target,Weight
CSMT,DR,6
DR,TNA,4
TNA,PNVL,6
PNVL,MNI,1
MNI,KHED,1
KHED,CHI,2
CHI,SGR,1
SGR,RN,2
RN,VID,1
VID,RAJP,2
RAJP,VBW,3
VBW,KKW,1
KKW,SNDD,3
SNDD,KUDL,3
KUDL,SWV,2
SWV,PERN,1
PERN,THVM,1
THVM,KRMI,2
KRMI,MAO,2
MAO,KRMI,2
KRMI,THVM,3
THVM,SWV,4
PNVL,ROHA,4
ROHA,MNI,1
MNI,VEER,1
VEER,KHED,1
CHI,SVX,1
SVX,AVRD,2
AVRD,SGR,2
RN,ADVI,1
ADVI,VID,1
VBW,NAN,2
NAN,KKW,2
SWV,KUDL,3
KUDL,SNDD,2
SNDD,KKW,2
KKW,NAN,1
NAN,VBW,1
VBW,RAJP,2
RAJP,VID,1
VID,ADVI,1
ADVI,RN,1
RN,SGR,3
SGR,AVRD,2
AVRD,SVX,2
SVX,CHI,1
CHI,KHED,3
KHED,VEER,1
VEER,MNI,1
MNI,ROHA,2
ROHA,PNVL,5
PNVL,TNA,8
TNA,DR,5
LTT,TNA,4
TNA,KYN,5
KYN,LNL,2
LNL,PUNE,7
PUNE,KWV,1
KWV,BTW,1
BTW,UMD,1
UMD,LUR,1
LUR,LTRR,1
LTRR,PNF,1
PNF,PRLI,1
PRLI,GNH,1
GNH,PBN,1
PBN,PAU,3
PAU,NED,4
DR,KYN,5
KYN,KJT,6
KJT,LNL,7
PUNE,DD,6
DD,SUR,2
SUR,GR,4
GR,WADI,3
WADI,SEM,1
SEM,TDU,3
TDU,LPI,1
LPI,BMT,2
BMT,SC,2
SC,KZJ,2
KZJ,WL,4
WL,MABD,1
MABD,KMT,1
KMT,MDR,1
MDR,BZA,1
BZA,EE,6
EE,TDD,4
TDD,NDD,3
NDD,RJY,2
RJY,SLO,6
SLO,TUNI,2
TUNI,AKP,2
AKP,VSKP,1
VSKP,VZM,6
VZM,CHE,6
CHE,PSA,6
PSA,SPT,3
SPT,IPM,2
IPM,BAM,2
BAM,CAP,3
CAP,BALU,3
BALU,KUR,6
KUR,BBS,12
KOP,VV,1
VV,RKD,2
RKD,HTK,2
HTK,NMGT,1
NMGT,JSP,1
JSP,MRJ,2
MRJ,VRB,1
VRB,SLI,1
SLI,BVQ,1
BVQ,KOV,1
KOV,TKR,1
TKR,KRD,1
KRD,MSR,1
MSR,TAZ,1
TAZ,RMP,1
