Source,Target,Weight
MAO,KRMI,1
KRMI,THVM,2
THVM,PERN,2
PERN,SWV,1
SWV,KUDL,1
KUDL,SNDD,2
SNDD,KKW,2
KKW,VBW,1
VBW,RAJP,2
RAJP,ADVI,1
ADVI,RN,1
RN,SGR,1
SGR,CHI,1
CHI,KHED,1
KHED,MNI,1
MNI,PNVL,1
PNVL,TNA,5
TNA,DR,4
DR,CSMT,7
PUNE,SVJR,4
SVJR,KK,4
KK,TGN,1
TGN,LNL,1
LNL,KAD,1
KAD,KJT,1
KJT,KYN,2
KYN,TNA,5
NED,PAU,2
PAU,PBN,1
PBN,GNH,2
GNH,PRLI,2
PRLI,PNF,2
PNF,LTRR,2
LTRR,LUR,1
LUR,UMD,1
UMD,BTW,1
BTW,KWV,1
KWV,PUNE,1
PUNE,LNL,4
LNL,KYN,2
TNA,LTT,4
LTT,TNA,3
TNA,KYN,3
KYN,IGP,4
IGP,NK,3
NK,MMR,4
MMR,CSN,1
CSN,PC,1
PC,JL,1
JL,BSL,5
BSL,BAU,2
BAU,KNW,2
KNW,ET,3
ET,PPI,3
PPI,NU,1
NU,JBP,1
JBP,KTE,5
KTE,MYR,2
MYR,STA,3
STA,MKP,3
MKP,NYN,1
NYN,ALD,5
ALD,ALY,1
ALY,GYN,1
GYN,BHLP,1
BHLP,BSB,1
BSB,BCY,2
BCY,ARJ,2
ARJ,GCT,4
GCT,YFP,2
YFP,BUI,2
BUI,SIP,2
SIP,CPR,2
CPR,DGA,3
DGA,SEE,3
SEE,HJP,5
HJP,BNR,2
BNR,MFP,1
MFP,SPJ,3
SPJ,LSI,2
LSI,DBG,4
DBG,LSI,2
LSI,SPJ,2
SPJ,MFP,8
MFP,BNR,1
BNR,HJP,1
HJP,SEE,6
SEE,DGA,2
DGA,CPR,2
CPR,SIP,3
SIP,BUI,2
BUI,YFP,2
YFP,GCT,3
GCT,ARJ,2
ARJ,BCY,3
BCY,BSB,4
BSB,BHLP,1
BHLP,GYN,1
GYN,ALY,2
ALY,ALD,2
ALD,NYN,4
NYN,MKP,1
MKP,STA,2
STA,MYR,1
MYR,KTE,2
KTE,JBP,6
JBP,NU,3
NU,PPI,3
PPI,ET,4
ET,KNW,6
KNW,BAU,6
BAU,BSL,5
BSL,JL,10
JL,MMR,3
MMR,NK,7
NK,IGP,7
IGP,KYN,8
MS,TBM,3
TBM,CGL,9
CGL,MLMR,3
MLMR,TMV,1
TMV,VM,1
VM,VRI,4
VRI,CHSM,2
CHSM,ATU,2
ATU,ETP,1
ETP,VGE,1
VGE,APN,1
APN,SXT,1
SXT,SA,2
BLP,GD,1
GD,LKO,1
LKO,BE,4
BE,MB,5
MB,GZB,2
GZB,NZM,2
NZM,FDB,5
FDB,MTJ,4
MTJ,AGC,6
AGC,MRA,5
MRA,GWL,7
INDB,DWX,4
DWX,UJN,3
UJN,MKC,1
MKC,SFY,1
SFY,BRRG,1
BRRG,RTA,1
RTA,GUNA,1
GUNA,BDWS,2
BDWS,SVPI,1
SVPI,GWL,2
AJNI,WR,1
WR,PLO,3
PLO,DMN,3
DMN,BD,3
BD,AK,10
AK,SEG,4
SEG,MKU,2
MKU,BSL,6
JL,CSN,1
CSN,MMR,1
KYN,PNVL,2
PNVL,ROHA,2
ROHA,KHED,2
KHED,CHI,2
CHI,RN,6
RN,KKW,4
KKW,KUDL,2
KUDL,THVM,3
THVM,KRMI,2
ABKP,BSPR,1
BSPR,KTO,1
KTO,BRH,1
BRH,BJRI,1
BJRI,KTMA,1
KTMA,APR,1
APR,BUH,1
BUH,SDL,1
SDL,BRS,1
BRS,UMR,1
UMR,KTES,1
KTES,SHR,1
SHR,JBP,1
SBC,BNC,4
BNC,YNK,1
YNK,DBU,1
DBU,GBD,1
GBD,HUP,1
HUP,PKD,1
PKD,SSPN,1
SSPN,DMM,2
DMM,ATP,4
ATP,GY,3
GY,GTL,2
GTL,AD,2
AD,MALM,2
MALM,RC,2
RC,KSN,1
KSN,SADP,1
SADP,YG,1
YG,NW,1
NW,WADI,2
WADI,SDB,3
SDB,GR,1
GR,GUR,1
GUR,DUD,1
DUD,AKOR,1
AKOR,SUR,1
SUR,KWV,1
KWV,DD,1
DD,URI,1
URI,PUNE,1
KYN,DR,2
GR,SDB,2
SDB,WADI,3
WADI,TDU,1
TDU,VKB,2
VKB,LPI,2
LPI,HYB,1
KTE,DMO,1
DMO,PHA,1
PHA,SGO,1
SGO,KYE,2
KYE,BINA,1
BINA,MABA,2
MABA,BAQ,2
BAQ,BHS,5
BHS,BPL,5
BPL,BIH,2
BIH,SEH,2
SEH,PRB,1
PRB,KPP,1
KPP,SJP,1
SJP,AKD,1
AKD,KSH,1
KSH,BCH,1
BCH,MKC,2
MKC,TAN,1
TAN,UJN,1
UJN,NAD,4
NAD,KUH,1
KUH,RTM,1
RTM,MGN,1
MGN,DHD,1
DHD,GDA,1
GDA,DRL,1
DRL,BRC,1
BRC,ANND,13
ANND,ND,7
ND,MHD,2
MHD,MAN,2
MAN,ADI,4
ADI,CLDY,1
CLDY,VG,1
VG,SUNR,4
SUNR,THAN,1
