Source,Target,Weight
MAO,KRMI,2
KRMI,THVM,4
THVM,PERN,3
PERN,SWV,1
SWV,KUDL,1
KUDL,SNDD,2
SNDD,KKW,2
KKW,VBW,1
VBW,RAJP,2
RAJP,VID,1
VID,RN,1
RN,SGR,1
SGR,CHI,1
CHI,KHED,2
KHED,MNI,1
MNI,PNVL,1
PNVL,TNA,9
TNA,DR,7
DR,CSMT,10
SWV,THVM,2
THVM,KRMI,3
KRMI,MAO,2
DR,KYN,3
KYN,KJT,8
KJT,LNL,7
LNL,PUNE,10
PUNE,STR,7
STR,KRD,6
KRD,TKR,2
TKR,SLI,2
SLI,MRJ,7
MRJ,KUD,3
KUD,GPB,2
GPB,BGM,5
BGM,LD,7
LD,LWR,4
LWR,DWR,4
DWR,UBL,9
UBL,HVR,5
HVR,RNR,5
RNR,HRR,6
HRR,DVG,6
DVG,RRB,5
RRB,DRU,4
DRU,ASK,4
ASK,TTR,5
TTR,TK,5
TK,YPR,6
YPR,BAND,3
BAND,KJM,2
KJM,BWT,6
BWT,JTJ,4
JTJ,KPD,9
KPD,VLR,2
VLR,ARV,2
ARV,PRL,1
PRL,TNM,1
TNM,TRK,2
TRK,VM,2
VM,PDY,3
PDY,VM,2
VM,TRK,1
TRK,TNM,1
TNM,PRL,1
PRL,ARV,2
ARV,VLR,1
VLR,KPD,1
KPD,JTJ,7
JTJ,BWT,1
BWT,KJM,2
KJM,BAND,1
BAND,YPR,2
YPR,TK,2
TK,TTR,2
TTR,ASK,2
ASK,DRU,3
DRU,RRB,3
RRB,DVG,2
DVG,HRR,3
HRR,RNR,3
RNR,HVR,2
HVR,UBL,2
UBL,DWR,5
DWR,LWR,3
LWR,LD,3
LD,BGM,2
BGM,GPB,2
GPB,KUD,2
KUD,MRJ,2
MRJ,SLI,3
SLI,TKR,2
TKR,KRD,2
KRD,STR,2
STR,PUNE,3
PUNE,LNL,9
LNL,KYN,5
KYN,DR,4
LTT,TNA,9
TNA,KYN,11
KYN,KSRA,2
KSRA,IGP,2
IGP,DVL,3
DVL,NK,4
NK,MMR,4
MMR,NGN,1
NGN,CSN,1
CSN,PC,1
PC,JL,2
JL,BSL,7
BSL,RV,1
RV,BAU,1
BAU,NPNR,2
NPNR,KNW,2
KNW,KKN,1
KKN,HD,2
HD,TBN,2
TBN,ET,1
ET,HBD,4
HBD,MDDP,1
MDDP,HBJ,2
HBJ,BPL,5
BPL,BHS,4
BHS,BAQ,3
BAQ,BINA,1
BINA,LAR,3
LAR,BAB,1
BAB,JHS,1
JHS,CGN,1
CGN,AIT,1
AIT,ORAI,1
ORAI,KPI,1
KPI,PHN,1
PHN,BZM,1
BZM,CNB,1
CNB,ON,5
ON,LKO,3
LKO,BBK,6
BBK,GD,6
GD,MUR,7
MUR,BV,2
BV,BST,4
BST,KLD,10
KLD,GKP,8
BAND,HSRA,1
HSRA,DPJ,1
DPJ,SA,1
SA,ED,10
ED,KRR,6
KRR,DG,2
DG,MDU,3
MDU,VPT,3
VPT,SRT,4
SRT,CVP,5
CVP,MEJ,2
MEJ,TEN,2
TEN,MEJ,4
MEJ,CVP,2
CVP,SRT,5
SRT,VPT,5
VPT,MDU,3
MDU,DG,3
DG,KRR,3
KRR,ED,2
ED,SA,7
SA,DPJ,2
DPJ,HSRA,2
HSRA,BAND,1
PUNE,CCH,2
CCH,LNL,1
LNL,KJT,4
KJT,CHOK,1
CHOK,MHPE,1
MHPE,CKHS,1
CKHS,PNVL,1
PNVL,KYN,1
KYN,IGP,5
NK,LS,1
LS,MMR,2
MMR,CSN,2
CSN,KJ,1
KJ,PC,1
SUR,HG,1
HG,IDR,1
IDR,NBL,1
NBL,BJP,2
MAS,AJJ,4
AJJ,TRT,8
TRT,PUT,1
PUT,RU,2
RU,KOU,4
KOU,RJP,4
RJP,NRE,1
NRE,HX,1
HX,KKM,1
KKM,YA,1
YA,MOO,2
MOO,KDP,2
KDP,TU,3
TU,GY,4
GY,GTL,5
GTL,AD,5
AD,MALM,4
MALM,RC,5
RC,KSN,2
KSN,YG,1
YG,WADI,4
WADI,SDB,4
SDB,GR,4
GR,SUR,3
SUR,KWV,6
KWV,DD,6
DD,PUNE,10
PUNE,KK,1
KK,LNL,1
KYN,TNA,9
ADI,ND,10
ND,ANND,9
ANND,BRC,14
BRC,BH,9
BH,ST,9
ST,NVS,3
NVS,VAPI,1
VAPI,BSR,5
BSR,BIRD,3
BIRD,KYN,3
STR,SLI,1
MRJ,KOP,1
KOP,MRJ,2
SLI,STR,1
KJT,KYN,3
KYN,BIRD,1
BIRD,BSR,1
BSR,VAPI,3
VAPI,NVS,1
NVS,ST,2
ST,BH,5
BH,BRC,5
BRC,ANND,11
ANND,ND,9
ND,ADI,8
IGP,NK,3
MMR,BSL,6
BSL,BAU,3
BAU,KNW,2
KNW,ET,9
ET,PPI,4
PPI,NU,4
NU,JBP,3
JBP,KTE,7
KTE,STA,5
STA,MKP,5
MKP,ALD,3
ALD,PBH,2
PBH,SLN,1
SLN,FD,1
BSB,BOY,2
BOY,JNH,2
JNH,PLP,1
PLP,ALD,1
ALD,DBR,1
DBR,MKP,1
MKP,JTW,1
JTW,STA,1
STA,MYR,3
MYR,KTE,3
KTE,BNU,1
BNU,DMO,1
DMO,PHA,1
PHA,SGO,1
SGO,KYE,1
KYE,BINA,1
BINA,BAQ,2
BAQ,BHS,2
BHS,BPL,2
BPL,HBJ,7
HBJ,HBD,3
HBD,ET,3
ET,HD,2
HD,KKN,1
KKN,KNW,1
KNW,NPNR,1
NPNR,BAU,1
BAU,RV,1
RV,BSL,1
BSL,JL,11
JL,PC,2
PC,CSN,2
CSN,NGN,2
NGN,MMR,2
MMR,LS,1
LS,NK,1
NK,IGP,4
IGP,KYN,4
TNA,LTT,5
JAT,VJPJ,1
VJPJ,SMBX,1
SMBX,HRNR,1
HRNR,KTHU,1
KTHU,PTKC,4
PTKC,MEX,1
MEX,DZA,2
DZA,JRC,1
JRC,PGW,1
PGW,LDH,2
LDH,KNN,2
KNN,SIR,2
SIR,RPJ,3
RPJ,UBC,2
UBC,UMB,6
UMB,SHDM,2
SHDM,KKDE,2
KKDE,TRR,1
TRR,KUN,1
KUN,GRA,1
GRA,PNP,1
PNP,SMK,2
SMK,GNU,2
GNU,SNP,2
SNP,NUR,2
NUR,SZM,2
SZM,NDLS,2
NDLS,FDB,2
FDB,MTJ,3
MTJ,RKM,2
RKM,AGC,4
AGC,DHO,3
DHO,MRA,3
MRA,GWL,4
GWL,DBA,3
DBA,DAA,2
DAA,JHS,2
JHS,BAB,2
BAB,LAR,1
LAR,DUA,1
DUA,BINA,2
ET,BPF,1
BPF,HD,1
HD,CAER,1
CAER,KNW,1
KNW,BAU,4
BAU,BSL,4
MMR,KPG,8
KPG,BAP,3
BAP,ANG,3
ANG,DD,4
DD,URI,1
URI,PUNE,2
LTT,KYN,4
KYN,NK,4
NK,BSL,4
BSL,KNW,11
KNW,HD,5
HD,ET,5
ET,HBJ,4
BHS,JHS,3
JHS,ORAI,7
ORAI,CNB,6
CNB,LKO,11
BBK,JLD,3
JLD,CLJ,3
CLJ,GD,3
GD,BLP,4
BLP,JKNI,3
JKNI,TLR,3
TLR,BNY,4
BNY,NUH,1
NUH,ANDN,3
ANDN,GKP,4
THVM,SWV,1
SWV,KKW,1
KKW,RN,2
RN,CHI,2
KHED,PNVL,1
KRD,SLI,4
MRJ,GPB,1
LD,CLR,3
CLR,QLM,3
QLM,SVM,3
SVM,MAO,3
MAO,KAWR,4
KAWR,GOK,1
GOK,KT,2
KT,HNA,2
HNA,MRDW,2
MRDW,BTJL,2
BTJL,KUDA,1
KUDA,UD,3
UD,MAJN,3
MAJN,KGQ,2
KGQ,KZE,2
KZE,PAY,2
PAY,CAN,2
CAN,TLY,4
TLY,CLT,1
CLT,TIR,2
TIR,SRR,2
SRR,TCR,4
TCR,AWY,7
AWY,ERN,8
ERN,ERS,4
KOP,HTK,1
HTK,MRJ,1
KUD,RBG,1
RBG,GPB,2
UBL,GDG,2
GDG,KBL,2
KBL,HPT,2
HPT,TNGL,1
TNGL,DAJ,1
DAJ,BAY,1
BAY,GTL,2
AD,KO,1
KO,MALM,1
KSN,SADP,1
SADP,YG,1
YG,NW,1
NW,CT,1
CT,MQR,2
MQR,SEM,2
SEM,KQT,1
