Source,Target,Weight
PVR,MLB,3
MLB,KWV,3
KWV,KEM,1
KEM,JEUR,1
JEUR,PRWD,1
PRWD,BGVN,1
BGVN,DD,1
DD,ANG,5
ANG,BAP,3
BAP,PB,1
PB,SNSI,1
PUNE,SVJR,4
SVJR,KK,4
KK,PMP,1
PMP,CCH,4
CCH,LNL,2
LNL,KAD,1
KAD,KJT,1
KJT,KYN,3
KYN,DR,3
DR,CSMT,6
GKP,KLD,2
KLD,BST,4
BST,BV,3
BV,MUR,2
MUR,GD,4
GD,BBK,3
BBK,LKO,5
LKO,ON,4
ON,CNB,6
CNB,BZM,1
BZM,PHN,1
PHN,KPI,1
KPI,ORAI,1
ORAI,AIT,1
AIT,CGN,1
CGN,JHS,1
JHS,BAB,2
BAB,LAR,1
LAR,BINA,2
BINA,BAQ,2
BAQ,BHS,2
BHS,BPL,3
BPL,HBJ,4
HBJ,MDDP,1
MDDP,HBD,1
HBD,ET,3
ET,TBN,1
TBN,HD,1
HD,KKN,1
KKN,KNW,1
KNW,NPNR,1
NPNR,BAU,1
BAU,RV,1
RV,BSL,1
BSL,JL,10
JL,PC,1
PC,CSN,1
CSN,NGN,1
NGN,MMR,1
MMR,NK,6
NK,DVL,3
DVL,IGP,2
IGP,KYN,6
KYN,TNA,9
TNA,LTT,8
CSMT,DR,12
DR,KYN,5
KYN,KJT,7
KJT,LNL,8
LNL,KK,1
KK,PUNE,1
PUNE,DD,6
DD,BGVN,1
BGVN,JEUR,1
JEUR,KEM,1
KEM,KWV,1
KWV,MA,1
MA,MO,1
MO,SUR,1
SUR,HG,1
HG,AKOR,1
AKOR,DUD,1
DUD,GUR,1
GUR,GR,1
GR,SDB,3
SDB,WADI,4
WADI,NW,1
NW,YG,1
YG,SADP,1
SADP,KSN,1
KSN,RC,1
RC,MTU,1
MTU,MALM,1
MALM,KO,1
KO,KGL,1
KGL,AD,1
AD,NRR,1
NRR,GTL,1
GTL,GY,4
GY,RLO,2
RLO,TU,2
TU,KDP,1
KDP,MOO,1
MOO,YA,1
YA,KKM,2
KKM,HX,2
HX,NRE,1
NRE,RJP,1
RJP,KOU,2
KOU,RU,2
RU,PUT,3
PUT,TRT,1
TRT,AJJ,8
AJJ,TRL,4
TRL,PER,4
PER,MAS,8
MDU,DG,4
DG,TPJ,3
TPJ,VRI,3
VRI,VM,4
VM,CGL,3
CGL,CJ,1
CJ,AJJ,1
AJJ,RU,1
RU,RJP,2
RJP,HX,3
HX,GY,1
GY,GTL,3
GTL,AD,3
AD,MALM,3
MALM,RC,3
RC,WADI,1
WADI,SDB,3
SDB,GR,1
GR,SUR,2
SUR,DD,1
DD,PUNE,5
PUNE,LNL,4
LNL,KYN,1
KOP,MRJ,2
MRJ,STR,1
STR,PUNE,1
ANG,KPG,2
KPG,MMR,6
MMR,AWB,2
AWB,J,7
J,PBN,2
PBN,PAU,6
PAU,NED,8
NED,KNVT,1
KNVT,ADB,3
ADB,MJRI,1
MJRI,SEGM,1
SEGM,NGP,2
NGP,NRKR,1
NRKR,PAR,1
PAR,AMLA,1
AMLA,BZU,1
BZU,GDYA,2
GDYA,ET,2
ET,JBP,6
JBP,KTE,6
KTE,STA,8
STA,ALD,5
ALD,ALY,4
ALY,GYN,4
GYN,BSB,1
BSB,MGS,6
MGS,BBU,4
BBU,SSM,4
SSM,DOS,4
DOS,GAYA,2
GAYA,KQR,5
KQR,PNME,3
PNME,DHN,2
DHN,PNME,1
PNME,KQR,6
KQR,GAYA,7
GAYA,DOS,4
DOS,SSM,5
SSM,BBU,4
BBU,MGS,4
MGS,BSB,4
BSB,GYN,2
GYN,ALY,3
ALY,ALD,3
ALD,STA,4
STA,KTE,4
KTE,JBP,7
JBP,ET,4
ET,GDYA,3
GDYA,BZU,3
BZU,AMLA,2
AMLA,PAR,1
PAR,NRKR,1
NRKR,NGP,1
NGP,SEGM,3
SEGM,MJRI,1
MJRI,ADB,1
ADB,KNVT,1
KNVT,NED,1
NED,PAU,7
PAU,PBN,5
PBN,J,4
J,AWB,6
AWB,MMR,3
MMR,KPG,3
KPG,ANG,1
ANG,DD,4
PUNE,STR,3
STR,MRJ,1
MRJ,KOP,1
UBL,DWR,4
DWR,LWR,2
LWR,LD,2
LD,BGM,1
BGM,GPB,2
GPB,RBG,1
RBG,CNC,1
CNC,KUD,1
KUD,UGR,1
UGR,SED,1
SED,MRJ,1
MRJ,KVK,2
KVK,DLGN,2
DLGN,SGLA,2
SGLA,PVR,2
KWV,SUR,3
LTT,TNA,7
TNA,KYN,10
KYN,BSL,1
BSL,ET,2
JBP,STA,1
ALD,PLP,2
PLP,JNH,2
JNH,MAY,1
MAY,ZBD,1
ZBD,JNU,3
JNU,SHG,2
SHG,KRND,2
KRND,SMZ,2
SMZ,AMH,1
AMH,MMA,3
MMA,MAU,3
MAU,BLTR,2
BLTR,BTT,1
BTT,MW,1
MW,SV,1
SV,CPR,7
SA,SXT,1
SXT,APN,1
APN,VGE,1
VGE,ETP,1
ETP,ATU,1
ATU,CHSM,1
CHSM,VRI,1
VM,TMV,2
TMV,MLMR,2
MLMR,CGL,4
CGL,TBM,13
TBM,MS,3
KYN,IGP,7
IGP,NK,6
NK,LS,3
LS,MMR,4
MMR,NGN,2
NGN,CSN,2
CSN,PC,2
PC,JL,2
JL,BSL,15
BSL,RV,2
RV,BAU,2
BAU,NPNR,2
NPNR,KNW,2
KNW,KKN,2
KKN,HD,3
HD,ET,4
ET,HBD,3
HBD,HBJ,3
HBJ,BPL,3
BPL,BHS,4
BHS,BAQ,4
BAQ,BINA,3
BINA,KYE,1
KYE,SGO,2
SGO,PHA,1
PHA,DMO,1
DMO,BNU,1
BNU,KTE,1
KTE,MYR,3
MYR,STA,3
STA,JTW,2
JTW,MKP,2
MKP,DBR,2
DBR,ALD,1
JNH,BOY,1
BOY,PRF,2
PRF,SWPR,1
SWPR,BSB,2
TNA,PNVL,5
PNVL,KHED,1
KHED,CHI,1
CHI,RN,3
RN,KKW,2
KKW,SWV,1
SWV,THVM,1
THVM,KRMI,1
KRMI,MAO,1
VRL,KSD,1
KSD,JND,2
JND,NUD,1
NUD,GDL,1
GDL,RJT,1
RJT,WKR,5
WKR,SUNR,4
SUNR,VG,5
VG,ADI,7
ADI,ND,9
ND,ANND,10
ANND,BRC,13
BRC,BH,10
BH,ST,9
ST,NVS,6
NVS,BL,5
BL,VAPI,7
VAPI,DRD,3
DRD,BSR,2
BSR,BIRD,5
BIRD,KYN,5
LNL,SVJR,3
SVJR,PUNE,8
BGKT,LUNI,2
LUNI,PMY,5
PMY,MJ,5
MJ,FA,4
FA,ABR,2
ABR,PNU,10
PNU,MSH,6
MSH,SBI,2
SBI,ADI,4
JHS,DAA,3
DAA,DBA,3
DBA,GWL,3
GWL,SVPI,1
SVPI,GUNA,1
GUNA,RTA,2
RTA,CBK,1
CBK,BRRG,1
BRRG,SFY,1
SFY,MKC,2
MKC,UJN,2
UJN,NAD,4
NAD,RTM,5
RTM,DHD,5
DHD,GDA,5
GDA,BRC,5
BRC,ST,11
ST,VAPI,5
VAPI,BVI,5
BVI,BDTS,9
BDTS,BVI,4
BVI,VAPI,2
VAPI,ST,1
ST,BRC,7
BRC,GDA,6
GDA,DHD,7
DHD,RTM,2
RTM,NAD,6
NAD,UJN,7
UJN,MKC,3
MKC,SFY,4
SFY,BRRG,2
BRRG,CBK,2
CBK,RTA,1
RTA,GUNA,5
GUNA,SVPI,2
SVPI,GWL,2
GWL,DBA,2
DBA,DAA,2
DAA,JHS,3
KRMI,THVM,3
THVM,KUDL,3
KUDL,KKW,1
KKW,RN,1
RN,CHI,5
CHI,KHED,1
KHED,ROHA,1
ROHA,PNVL,3
PNVL,KYN,1
NK,MMR,7
MMR,CSN,3
CSN,JL,3
BSL,MKU,4
MKU,SEG,1
SEG,AK,3
AK,BD,3
BD,DMN,1
DMN,PLO,2
PLO,WR,2
WR,AJNI,2
SUR,MO,1
MO,MA,1
MA,KWV,1
KWV,MLB,1
MLB,PVR,2
PVR,SGLA,2
SGLA,MSDG,1
MSDG,JTRD,2
JTRD,DLGN,2
DLGN,KVK,1
KVK,SGRE,1
SGRE,ARAG,1
ARAG,MRJ,2
MMR,JL,6
BSL,KNW,6
KNW,ET,5
BPL,BINA,5
BINA,JHS,4
JHS,ORAI,4
ORAI,CNB,4
CNB,LJN,5
SMNH,VRL,2
VRL,MLHA,1
MLHA,KSD,2
JND,JLR,2
JLR,VRR,1
VRR,GDL,1
GDL,BKNG,1
BKNG,RJT,1
WKR,THAN,1
THAN,SUNR,1
VG,CLDY,1
CLDY,ADI,1
ADI,MHD,1
MHD,ND,3
BRC,DRL,1
DRL,GDA,1
DHD,MGN,5
MGN,RTM,5
RTM,KUH,3
KUH,NAD,3
UJN,TAN,3
TAN,MKC,3
MKC,BCH,4
BCH,KSH,2
KSH,AKD,2
AKD,SJP,5
SJP,KPP,5
KPP,PRB,1
PRB,SEH,2
SEH,BIH,5
BIH,BPL,5
HBJ,HBD,1
ET,SGP,2
SGP,PPI,2
PPI,GAR,4
GAR,KY,2
KY,NU,2
NU,SRID,2
SRID,MML,2
MML,JBP,3
JBP,SHR,3
SHR,KMZ,1
KMZ,DMO,4
DMO,SGO,4
SGO,MAKR,3
MAKR,MNV,1
MNV,ASKN,1
ASKN,GUNA,3
RTA,BRRG,1
BRRG,SFW,1
SFW,SFY,1
MKC,DWX,1
DWX,INDB,5
INDB,DWX,8
DWX,MKC,2
SFY,SFW,2
SFW,BRRG,1
BRRG,RTA,2
GUNA,ASKN,4
ASKN,MNV,3
MNV,MAKR,2
MAKR,SGO,2
SGO,DMO,5
DMO,KMZ,4
KMZ,SHR,1
SHR,JBP,4
LJN,CNB,2
CNB,ETW,5
ETW,TDL,2
TDL,ALJN,3
ALJN,GZB,3
GZB,NDLS,5
KLK,CDG,1
CDG,UMB,3
UMB,KKDE,3
KKDE,NDLS,1
NDLS,UMB,2
UMB,SIR,4
SIR,LDH,3
LDH,PGW,1
PGW,JUC,1
JUC,BEAS,5
BEAS,ASR,6
NDLS,GZB,2
GZB,MTC,2
MTC,MOZ,3
MOZ,SRE,2
SRE,RK,4
RK,HW,5
HW,DDN,2
PUNE,SUR,3
SUR,GR,4
GR,WADI,2
WADI,TDU,2
TDU,VKB,4
VKB,BMT,1
BMT,SC,3
MAS,KPD,2
KPD,BNC,1
BNC,SBC,6
ASR,BEAS,5
BEAS,JUC,6
JUC,PGW,3
PGW,LDH,5
LDH,RPJ,3
RPJ,UMB,3
UMB,NDLS,2
ETW,ALJN,1
NDLS,ROK,1
ROK,JIND,3
JIND,TUN,1
TUN,SAG,1
SAG,DUI,1
DUI,LDH,1
LDH,DUI,2
DUI,SAG,3
SAG,TUN,2
TUN,JIND,2
JIND,ROK,3
ROK,NDLS,3
MOGA,JGN,1
JGN,LDH,1
LDH,SAG,1
JTTN,MXN,2
MXN,FKG,2
FKG,BXJ,2
BXJ,DMV,2
DMV,DPU,2
DPU,LMG,2
LMG,LKA,3
LKA,HJI,3
HJI,CPK,2
CPK,GHY,1
NK,KYN,5
TNA,DR,4
TVC,QLN,1
QLN,KYJ,8
KYJ,MVLK,5
MVLK,CNGR,3
CNGR,TRVL,8
TRVL,KTYM,5
KTYM,ERN,6
ERN,TCR,3
TCR,SRR,4
SRR,TIR,3
TIR,CLT,3
CLT,BDJ,3
BDJ,TLY,3
TLY,CAN,4
MKU,NN,2
NN,SEG,2
AK,MZR,3
MZR,BD,3
BD,CND,1
CND,DMN,2
AJNI,NGP,1
NGP,KP,1
KP,BRD,1
BRD,TMR,1
TMR,TRO,1
TRO,G,1
G,TRO,3
TRO,TMR,3
TMR,BRD,3
BRD,KP,3
KP,NGP,3
NGP,AJNI,2
AJNI,WR,2
WR,PLO,3
PLO,DMN,3
DMN,CND,2
CND,BD,2
BD,MZR,3
MZR,AK,3
AK,SEG,5
SEG,NN,2
NN,MKU,3
MKU,BSL,6
JL,CSN,1
CSN,MMR,1
NK,IGP,5
KYN,NK,4
NK,BSL,2
BSL,BPL,2
BPL,LAR,1
LAR,JHS,1
MMR,LS,1
LS,NR,1
NR,NK,1
IGP,KSRA,1
KSRA,KYN,1
NK,JL,1
BD,AMI,1
LNL,DR,1
DR,TNA,7
PNVL,KJT,1
KYN,KSRA,3
KSRA,IGP,4
IGP,DVL,4
DVL,NK,5
BSL,BAU,3
BAU,KNW,3
HD,BPF,1
BPF,ET,2
BINA,LAR,3
LAR,BAB,2
BAB,JHS,3
GWL,MRA,3
MRA,DHO,2
DHO,AGC,2
AGC,RKM,6
RKM,MTJ,3
MTJ,KSV,2
KSV,FDB,1
FDB,NZM,4
NZM,NDLS,9
NDLS,DKZ,2
DKZ,SSB,2
SSB,BGZ,1
BGZ,ROK,3
JIND,NRW,2
NRW,TUN,2
TUN,JHL,2
JHL,BRZ,2
BRZ,BLZ,2
BLZ,MSZ,2
MSZ,MAUR,2
MAUR,BTI,2
BTI,GNA,2
GNA,GJUT,1
GJUT,KKP,3
KKP,FDK,3
FDK,FZR,3
PURI,KUR,8
KUR,BBS,19
BBS,CTC,15
CTC,DNKL,2
DNKL,TLHR,1
TLHR,ANGL,1
ANGL,SBPD,1
SBPD,SBP,4
SBP,BRGA,3
BRGA,BLGR,3
BLGR,BUDM,1
BUDM,TIG,1
TIG,KBJ,3
KBJ,KRAR,3
KRAR,MSMD,2
MSMD,R,3
R,DURG,4
DURG,G,1
G,NGP,2
NGP,BD,1
BD,AK,4
AK,BSL,2
BSL,NK,4
KYN,LTT,3
DNR,ARA,2
ARA,BXR,2
BXR,MGS,2
MGS,ACOI,1
ACOI,STA,2
STA,MYR,5
MYR,KTE,5
ET,KNW,5
KNW,BAU,1
BAU,BSL,1
BSL,MMR,2
KPG,BAP,2
BAP,ANG,3
LTT,KYN,1
BPL,JHS,3
JHS,AGC,1
AGC,NZM,1
NZM,MTC,1
MTC,TPZ,1
TPZ,RK,2
PBH,AME,3
AME,RBL,2
RBL,LKO,3
LKO,CNB,6
CNB,ORAI,4
ORAI,JHS,4
JHS,BPL,4
BPL,BSL,2
MTJ,AGC,3
AGC,MRA,2
MRA,GWL,2
JHS,BWR,1
BWR,NEW,1
NEW,MRPR,1
MRPR,HPP,1
HPP,KLAR,1
KLAR,MBA,1
MBA,BNDA,1
BNDA,ATE,1
ATE,CKTD,1
CKTD,MKP,2
MKP,ACOI,1
ACOI,BDL,1
BDL,MZP,3
MZP,CAR,3
CAR,MGS,2
PNME,GMO,4
GMO,DHN,3
DHN,ASN,4
ASN,DGR,8
DGR,BWN,8
BWN,HWH,4
AII,KSG,4
KSG,FL,2
FL,JP,3
JP,DPA,3
DPA,BNLW,2
BNLW,CKB,1
CKB,SWM,1
SWM,KOTA,7
KOTA,ATH,1
ATH,BAZ,1
BAZ,CAG,1
CAG,RTA,1
DMO,KTE,1
KTE,SHR,3
JHS,LAR,2
BINA,BHS,1
KNW,HD,3
ET,PPI,3
GAR,NU,2
NU,JBP,2
MOZ,RK,1
KCVL,QLN,3
KYJ,ALLP,1
ALLP,ERS,1
ERS,TCR,1
SRR,CLT,1
CLT,CAN,1
CAN,KGQ,2
KGQ,MAJN,3
MAJN,UD,2
UD,MAO,1
MAO,RN,1
RN,PNVL,2
PNVL,BSR,3
BSR,BRC,2
BRC,KOTA,2
KOTA,NZM,3
UMB,CDG,4
LTT,PUNE,2
SUR,SC,1
UMB,JUDW,3
JUDW,YJUD,4
YJUD,SRE,4
RK,LRJ,1
LRJ,NBD,1
NBD,NGG,1
NGG,DPR,1
DPR,SEO,1
SEO,MB,1
MB,BE,3
BE,SPN,3
SPN,HRI,2
HRI,LKO,1
HWH,TATA,1
TATA,BSP,1
BSP,NGP,1
NGP,BSL,1
BSL,IGP,1
IGP,CSMT,1
BCT,ADI,1
ADI,BCT,1
HWH,JSME,1
JSME,PNBE,2
PNBE,MGS,4
MGS,CNB,3
CNB,NDLS,2
LTT,IGP,1
IGP,BSL,1
BSL,STA,1
MGS,MZP,4
MZP,ACOI,1
JBP,NU,2
NU,PPI,2
PPI,ET,2
BZU,PAR,1
PAR,NGP,2
SEGM,CD,1
CD,BPQ,3
BPQ,SKZR,4
SKZR,RDM,1
RDM,WL,1
WL,BZA,3
BZA,OGL,3
OGL,NLR,4
NLR,GDR,3
GDR,MAS,1
MAS,AJJ,3
AJJ,KPD,3
KPD,JTJ,5
JTJ,KPN,2
KPN,BWT,2
BWT,KJM,4
KJM,BNCE,1
BNCE,BNC,3
LNL,BSR,1
BSR,ADI,1
HWH,BWN,4
BWN,DGR,6
DGR,ASN,9
ASN,DHN,2
DHN,GMO,2
GMO,PNME,6
PNME,HZD,1
HZD,KQR,1
MZP,ALD,2
ALD,FTP,3
FTP,CNB,3
CNB,PHD,2
PHD,ETW,1
ETW,SKB,3
SKB,FZD,3
FZD,TDL,3
TDL,HRS,2
HRS,ALJN,2
ALJN,KRJ,3
KRJ,GZB,2
GZB,DLI,5
DLI,SZM,3
SZM,SNP,2
SNP,GNU,1
GNU,SMK,1
SMK,PNP,1
