Source,Target,Weight
CSMT,DR,8
DR,TNA,8
TNA,PNVL,7
PNVL,MNI,1
MNI,KHED,1
KHED,CHI,2
CHI,SGR,1
SGR,RN,1
RN,ADVI,1
ADVI,RAJP,1
RAJP,VBW,1
VBW,KKW,1
KKW,SNDD,1
SNDD,KUDL,1
KUDL,SWV,1
SWV,PERN,1
PERN,THVM,1
THVM,KRMI,2
KRMI,MAO,1
TNA,KYN,11
KYN,IGP,7
IGP,NK,5
NK,MMR,5
MMR,JL,4
JL,BSL,13
BSL,MKU,9
MKU,SEG,1
SEG,AK,4
AK,MZR,5
MZR,BD,5
BD,DMN,4
DMN,PLO,4
PLO,WR,4
WR,NGP,7
LTT,TNA,8
PNVL,ROHA,2
ROHA,KHED,1
CHI,RN,3
RN,KKW,2
KKW,KUDL,2
KUDL,THVM,3
KYN,KJT,3
KJT,KAD,2
KAD,LNL,2
LNL,CCH,1
CCH,PMP,7
PMP,KK,2
KK,SVJR,7
SVJR,PUNE,7
KYN,LNL,5
LNL,PUNE,10
PUNE,SUR,5
SUR,GR,6
GR,WADI,3
WADI,YG,3
YG,RC,4
RC,MALM,4
MALM,GTL,3
GTL,GY,6
GY,TU,4
TU,YA,1
YA,HX,3
HX,RU,1
RU,AJJ,1
AJJ,MS,1
MS,TBM,7
TBM,CGL,12
CGL,VM,4
VM,TDPR,2
TDPR,CDM,2
CDM,SY,3
SY,MV,1
MV,TVR,1
TVR,NGT,1
NGT,NCR,1
NCR,KIK,1
KOP,VV,3
VV,RKD,3
RKD,HTK,3
HTK,JSP,2
JSP,MRJ,3
MRJ,SLI,3
SLI,BVQ,2
BVQ,KOV,2
KOV,KRD,1
KRD,KRG,1
KRG,STR,3
STR,WTR,1
WTR,LNN,2
LNN,NIRA,3
NIRA,JJR,2
JJR,GPR,1
GPR,PUNE,3
PUNE,SVJR,4
SVJR,KK,5
KK,PMP,1
PMP,DEHR,1
DEHR,TGN,2
TGN,LNL,1
LNL,KAD,2
KAD,KJT,2
KJT,NRL,1
NRL,KYN,1
KYN,TNA,12
TNA,DR,7
DR,CSMT,11
MAS,TRL,3
TRL,AJJ,3
AJJ,TRT,2
TRT,PUT,1
PUT,RU,2
RU,KOU,3
KOU,RJP,2
RJP,NRE,2
NRE,HX,2
HX,KKM,2
KKM,YA,2
YA,MOO,2
MOO,KDP,2
KDP,TU,2
TU,RLO,2
RLO,GY,2
GY,GTL,2
GTL,NRR,1
NRR,AD,1
AD,KGL,1
KGL,KO,1
KO,MALM,1
MALM,MTU,1
MTU,RC,1
RC,KSN,1
KSN,SADP,1
SADP,YG,1
YG,NW,1
NW,WADI,2
WADI,SDB,3
SDB,GR,2
GR,GUR,2
GUR,DUD,1
DUD,AKOR,1
AKOR,HG,1
HG,SUR,3
SUR,MO,1
MO,MA,1
MA,KWV,1
KWV,KEM,1
KEM,JEUR,1
JEUR,BGVN,2
BGVN,DD,2
DD,PUNE,6
PUNE,KK,1
KK,LNL,1
LNL,KJT,5
KJT,KYN,5
KOV,TKR,2
TKR,BVNR,2
BVNR,KRD,1
KRD,MSR,1
MSR,TAZ,2
TAZ,RMP,2
RMP,KRG,2
STR,JSV,2
JSV,WTR,1
JJR,ABLE,1
ABLE,GPR,1
PUNE,URI,3
URI,KDG,1
KDG,DD,1
DD,ANG,5
ANG,BAP,4
BAP,PB,1
PB,KPG,1
KPG,YL,2
YL,MMR,1
MMR,NGN,2
NGN,CSN,2
CSN,PC,1
PC,JL,1
BSL,BDWD,1
BDWD,MKU,1
MKU,NN,4
NN,JM,2
JM,SEG,2
BD,CND,2
CND,DMN,2
WR,SEGM,1
SEGM,TGP,1
TGP,SNI,1
SNI,AJNI,1
AJNI,NGP,2
NGP,ITR,2
ITR,KP,1
KP,BRD,2
BRD,TMR,2
TMR,TRO,2
TRO,G,2
KYN,NK,5
NK,BSL,6
BSL,HD,1
HD,ET,2
ET,JBP,4
JBP,STA,2
STA,ALD,5
ALD,JNH,1
JNH,MAY,2
MAY,JNU,1
JNU,SHG,5
SHG,KRND,3
KRND,SMZ,2
SMZ,AMH,2
AMH,SMZ,4
SMZ,KRND,5
KRND,SHG,5
SHG,JNU,5
JNU,MAY,1
MAY,JNH,2
JNH,ALD,1
ALD,STA,2
STA,JBP,3
JBP,ET,5
ET,HD,2
HD,BSL,1
BSL,NK,2
NK,KYN,5
TNA,LTT,6
BSL,ET,1
ALD,PLP,1
PLP,JNH,1
MAY,ZBD,1
ZBD,JNU,3
AMH,MMA,2
MMA,MAU,2
MAU,BLTR,2
BLTR,DEOS,1
DEOS,GKP,5
ASR,JNL,1
JNL,BEAS,1
BEAS,KRE,1
KRE,JUC,1
JUC,JRC,3
JRC,PGW,3
PGW,GRY,1
GRY,PHR,1
PHR,LDH,1
LDH,AHH,1
AHH,MET,1
MET,DUI,1
DUI,NBA,1
NBA,PTA,1
PTA,RPJ,1
RPJ,UBC,1
UBC,UMB,1
UMB,SHDM,1
SHDM,KKDE,1
KKDE,NLKR,1
NLKR,TRR,1
TRR,KUN,1
KUN,GRA,1
GRA,PNP,1
PNP,SMK,2
SMK,GNU,1
GNU,SNP,1
SNP,RDDE,1
RDDE,NUR,2
NUR,ANDI,2
ANDI,SZM,2
SZM,NDLS,2
NDLS,NZM,5
NZM,FDB,4
FDB,BVH,1
BVH,PWL,1
PWL,KSV,1
KSV,MTJ,2
MTJ,RKM,2
RKM,AGC,4
AGC,DHO,4
DHO,MRA,4
MRA,GWL,5
GWL,DBA,4
DBA,SOR,1
SOR,DAA,1
DAA,JHS,4
JHS,BAB,3
BAB,BZY,1
BZY,TBT,1
TBT,LAR,2
LAR,JLN,2
JLN,DUA,2
DUA,BINA,2
BINA,MABA,3
MABA,BAQ,2
BAQ,GLG,1
GLG,BHS,1
BHS,SCI,1
SCI,BPL,1
BPL,HBJ,5
HBJ,MDDP,1
MDDP,ODG,1
ODG,BNI,1
BNI,HBD,1
HBD,ET,2
ET,BPF,3
BPF,TBN,2
TBN,HD,2
HD,KKN,3
KKN,CAER,2
CAER,TLV,1
TLV,KNW,1
KNW,NPNR,3
NPNR,BAU,3
BAU,RV,1
RV,NB,2
NB,SAV,2
SAV,BSL,1
BSL,JL,6
JL,PC,1
PC,CSN,1
CSN,MMR,2
MMR,NK,7
NK,DVL,4
DVL,IGP,4
IGP,KYN,5
CPR,SV,4
SV,MW,3
MW,BTT,2
BTT,BLTR,1
BLTR,MAU,1
MAU,MMA,2
MMA,AMH,2
JNU,ZBD,1
ZBD,MAY,1
JNH,PLP,1
PLP,ALD,1
ET,BSL,2
BSL,KYN,1
PUNE,KWV,1
KWV,UMD,1
UMD,LUR,2
LUR,LTRR,2
LTRR,UDGR,2
UDGR,KMNR,2
KMNR,BHLK,2
BHLK,BIDR,2
BIDR,BHLK,4
BHLK,KMNR,1
KMNR,UDGR,1
UDGR,LTRR,4
LTRR,LUR,3
LUR,UMD,2
UMD,KWV,1
KWV,PUNE,2
PUNE,LNL,8
LNL,KYN,3
KZJ,JMKT,1
JMKT,PDPL,1
PDPL,RDM,1
RDM,MCI,1
MCI,BPA,2
BPA,SKZR,2
SKZR,BPQ,6
BPQ,CD,8
CD,MJKN,1
MJKN,WANI,1
WANI,PMKT,1
PMKT,ADB,1
ADB,KNVT,3
KNVT,HEM,1
HEM,BOKR,3
BOKR,MUE,3
MUE,NED,5
NED,PAU,6
PAU,PBN,4
PBN,J,1
J,AWB,4
AWB,LSR,4
LSR,NSL,1
NSL,MMR,3
KYN,LTT,3
KYN,BIRD,2
BIRD,BSR,3
BSR,DRD,2
DRD,VAPI,5
VAPI,BL,9
BL,NVS,4
NVS,ST,6
ST,BH,9
BH,BRC,11
BRC,ANND,19
ANND,ND,13
ND,ADI,8
ADI,VG,7
VG,SUNR,7
SUNR,WKR,2
WKR,RJT,5
RJT,GDL,1
GDL,NUD,2
NUD,JND,2
JND,KSD,4
KSD,VRL,2
BSL,BAU,1
BAU,NPNR,2
NPNR,KNW,2
KNW,ET,5
ET,PPI,4
PPI,NU,3
NU,MML,1
MML,JBP,3
JBP,KTE,7
KTE,MYR,1
MYR,STA,2
STA,MKP,2
MKP,ACOI,2
ACOI,BDL,3
BDL,MZP,6
MZP,CAR,5
CAR,KEI,2
KEI,BSB,4
BSB,KEI,3
KEI,CAR,1
CAR,MZP,2
MZP,BDL,2
BDL,ACOI,1
ACOI,MKP,2
MKP,STA,5
STA,MYR,4
MYR,KTE,2
KTE,JBP,8
JBP,NU,3
NU,PPI,3
PPI,ET,6
ET,KNW,7
BAU,BSL,3
JL,MMR,2
NK,IGP,1
PUNE,CCH,1
CCH,LNL,1
LNL,PNVL,1
PNVL,BSR,5
BSR,BOR,4
BOR,VAPI,4
BL,ST,5
BRC,GDA,3
GDA,DHD,2
DHD,RTM,2
RTM,NAD,2
NAD,UJN,4
UJN,MKC,2
MKC,SFY,2
SFY,BRRG,2
BRRG,RTA,2
RTA,GUNA,2
GUNA,SVPI,1
SVPI,GWL,1
JHS,CGN,1
CGN,MOTH,1
MOTH,AIT,1
AIT,ORAI,1
ORAI,KPI,1
KPI,PHN,1
PHN,GOY,1
GOY,CNB,2
CNB,ON,5
ON,LJN,2
BJU,DSS,1
DSS,SPJ,2
