Source,Target,Weight
MAO,KAWR,6
KAWR,BTJL,3
BTJL,UD,3
UD,MAJN,5
MAJN,KGQ,3
KGQ,CAN,2
CAN,CLT,4
CLT,TIR,4
TIR,SRR,4
SRR,TCR,6
TCR,AWY,6
AWY,ERS,3
LTT,TNA,7
TNA,PNVL,5
PNVL,ROHA,2
ROHA,KHED,1
KHED,CHI,1
CHI,RN,4
RN,KKW,2
KKW,KUDL,1
KUDL,SWV,1
SWV,KUDL,1
KUDL,KKW,2
KKW,RN,3
RN,CHI,4
CHI,KHED,2
KHED,ROHA,2
ROHA,PNVL,3
PNVL,TNA,3
TNA,LTT,7
TNA,KYN,8
KYN,PUNE,1
PUNE,KWV,1
KWV,SUR,2
SUR,DUD,1
DUD,GUR,1
GUR,GR,1
GR,SDB,3
SDB,WADI,6
WADI,YG,2
YG,KSN,2
KSN,RC,2
RC,MALM,5
MALM,AD,5
AD,GTL,5
GTL,GY,6
GY,KLU,1
KLU,ATP,1
ATP,DMM,5
DMM,SSPN,1
SSPN,HUP,1
HUP,GBD,1
GBD,BNCE,1
BNCE,SBC,1
SBC,BNC,9
BNC,HSRA,1
HSRA,DPJ,1
DPJ,OML,1
OML,SA,2
SA,ED,11
ED,TUP,11
TUP,CBE,9
BSL,JL,12
JL,PC,1
PC,KJ,1
KJ,CSN,1
CSN,MMR,3
MMR,LS,2
LS,NK,1
NK,DVL,5
DVL,IGP,5
IGP,KYN,7
KYN,PNVL,2
PNVL,CKHS,1
CKHS,MHPE,1
MHPE,CHOK,1
CHOK,KJT,1
KJT,LNL,6
LNL,CCH,3
CCH,PUNE,3
CSMT,DR,6
DR,TNA,4
KYN,NRL,1
NRL,KJT,1
KJT,KAD,1
KAD,LNL,1
LNL,TGN,2
TGN,CCH,1
CCH,KK,1
KK,SVJR,8
SVJR,PUNE,7
PUNE,GPR,1
GPR,JJR,1
JJR,NIRA,1
NIRA,LNN,1
LNN,WTR,1
WTR,STR,1
STR,KRG,1
KRG,RMP,1
RMP,TAZ,1
TAZ,MSR,1
MSR,SIW,1
SIW,KRD,1
KRD,TKR,2
TKR,KOV,2
KOV,BVQ,1
BVQ,SLI,1
SLI,MRJ,2
MRJ,JSP,2
JSP,HTK,2
