Source,Target,Weight
ERS,AWY,10
AWY,TCR,11
TCR,SRR,5
SRR,TIR,2
TIR,CLT,1
CLT,CAN,4
CAN,KGQ,3
KGQ,MAJN,3
MAJN,UD,5
UD,BTJL,1
BTJL,KAWR,1
KAWR,MAO,5
SNSI,PB,5
PB,BAP,1
BAP,ANG,5
ANG,DD,7
DD,BGVN,1
BGVN,PRWD,1
PRWD,JEUR,1
JEUR,KEM,1
KEM,KWV,1
KWV,MLB,1
MLB,PVR,2
CSMT,DR,8
DR,TNA,6
TNA,KYN,7
KYN,NRL,1
NRL,KJT,1
KJT,KAD,2
KAD,LNL,2
LNL,TGN,2
TGN,KK,1
KK,SVJR,3
SVJR,PUNE,5
CBE,TUP,12
TUP,ED,12
ED,SA,15
SA,OML,1
OML,DPJ,1
DPJ,HSRA,3
HSRA,SBC,1
SBC,BNC,7
BNC,GBD,1
GBD,HUP,5
HUP,SSPN,1
SSPN,DMM,3
DMM,ATP,11
ATP,KLU,1
KLU,GY,1
GY,GTL,9
GTL,AD,7
AD,MALM,6
MALM,RC,7
RC,KSN,2
KSN,YG,1
YG,WADI,6
WADI,SDB,7
SDB,GR,6
GR,GUR,3
GUR,DUD,2
DUD,SUR,2
SUR,KWV,4
KWV,DD,3
DD,PUNE,10
PUNE,KYN,3
KYN,TNA,15
TNA,LTT,7
KIK,NCR,2
NCR,NGT,2
NGT,TVR,1
TVR,MV,1
MV,SY,2
SY,CDM,2
CDM,TDPR,2
TDPR,VM,2
VM,CGL,4
CGL,TBM,10
TBM,MS,3
MS,AJJ,1
AJJ,RU,2
RU,HX,2
HX,YA,4
YA,TU,2
TU,GY,4
GTL,MALM,2
RC,YG,6
WADI,GR,7
GR,SUR,9
SUR,PUNE,6
PUNE,LNL,11
LNL,KYN,5
BBS,KUR,17
KUR,BALU,3
BALU,CAP,2
CAP,BAM,3
BAM,IPM,3
IPM,SPT,3
SPT,PSA,2
PSA,CHE,5
CHE,VZM,5
VZM,VSKP,7
VSKP,AKP,1
AKP,TUNI,2
TUNI,SLO,2
SLO,RJY,8
RJY,NDD,2
NDD,TDD,3
TDD,EE,5
EE,BZA,8
BZA,MDR,2
MDR,KMT,2
KMT,MABD,1
MABD,WL,2
WL,KZJ,5
KZJ,SC,5
SC,BMT,4
BMT,LPI,2
LPI,TDU,2
TDU,SEM,3
SEM,WADI,1
SUR,DD,2
LNL,KJT,5
KJT,KYN,5
TNA,DR,10
DR,CSMT,10
DR,KYN,4
KYN,KJT,3
TGN,DEHR,1
DEHR,PMP,1
PMP,KK,1
PUNE,JJR,1
JJR,NIRA,1
NIRA,LNN,2
LNN,WTR,1
WTR,STR,1
STR,KRG,2
KRG,KRD,1
KRD,KOV,1
KOV,BVQ,1
BVQ,SLI,1
SLI,MRJ,2
MRJ,JSP,2
JSP,HTK,1
HTK,RKD,2
RKD,VV,2
VV,KOP,2
BJP,NBL,1
NBL,IDR,1
IDR,HG,2
HG,SUR,2
DBG,LSI,3
LSI,SPJ,1
SPJ,MFP,4
MFP,HJP,5
HJP,SEE,6
SEE,CPR,3
CPR,BUI,2
BUI,GCT,1
GCT,ARJ,2
ARJ,BCY,2
BCY,BSB,2
BSB,MUV,1
MUV,GYN,1
GYN,ALY,1
ALY,ALD,1
ALD,STA,3
STA,KTE,7
KTE,JBP,8
JBP,NU,3
NU,PPI,2
PPI,ET,5
ET,KNW,4
KNW,BSL,8
BSL,MMR,6
MMR,KPG,9
KPG,BAP,4
GKP,DEOS,6
DEOS,BLTR,1
BLTR,MAU,1
MAU,MMA,2
MMA,AMH,2
AMH,SMZ,1
SMZ,KRND,1
KRND,SHG,1
SHG,JNU,2
JNU,ZBD,3
ZBD,MAY,2
MAY,JNH,2
JNH,PLP,1
PLP,ALD,1
STA,JBP,3
JBP,ET,7
ET,BSL,2
BSL,NK,3
NK,KYN,4
MAS,AJJ,8
YA,GY,1
KYN,LTT,4
GKP,ANDN,3
ANDN,NUH,3
NUH,BNY,1
BNY,TLR,2
TLR,JKNI,2
JKNI,BLP,2
BLP,GD,2
GD,CLJ,2
CLJ,JLD,2
JLD,LKO,1
LKO,CNB,4
CNB,ORAI,3
ORAI,JHS,3
JHS,BHS,2
BHS,BPL,5
BPL,HBJ,7
HBJ,ET,4
ET,HD,5
HD,KNW,5
KYN,BIRD,2
BIRD,BSR,3
BSR,DRD,2
DRD,VAPI,2
VAPI,BL,6
BL,NVS,2
NVS,ST,4
ST,BH,9
BH,BRC,9
BRC,ANND,8
ANND,ND,7
ND,ADI,7
GWL,DBA,5
DBA,DAA,3
DAA,JHS,4
JHS,CGN,1
CGN,MOTH,1
MOTH,AIT,1
AIT,ORAI,1
ORAI,KPI,1
KPI,PHN,1
PHN,LLR,1
LLR,PMN,1
PMN,BZM,1
BZM,GOY,2
GOY,CNB,3
CNB,ON,7
ON,LKO,4
LKO,BBK,1
BBK,BUW,1
BUW,CLJ,1
CLJ,GD,1
GD,MUR,2
MUR,MSW,1
MSW,BV,1
BV,BST,1
BST,MND,1
MND,KLD,1
KLD,GKP,3
GKP,CC,1
CC,GB,2
GB,DEOS,1
DEOS,BTT,5
BTT,BHTR,1
BHTR,BTK,2
BTK,MW,2
MW,SV,1
SV,DDA,1
DDA,CPR,1
CPR,DGA,2
DGA,SEE,1
SEE,HJP,7
HJP,SAI,1
SAI,BNR,1
BNR,MFP,1
MFP,DOL,2
DOL,KRBP,2
KRBP,SPJ,2
SPJ,DSS,3
DSS,BJU,2
LTT,TNA,3
KYN,IGP,6
IGP,DVL,3
DVL,NK,3
NK,MMR,7
MMR,RGO,1
RGO,LSR,2
LSR,AWB,2
AWB,J,6
J,PTU,4
PTU,SELU,4
SELU,PBN,3
PBN,PAU,7
PAU,BMF,2
BMF,HNL,2
HNL,WHM,2
WHM,AK,2
AK,MZR,2
MZR,BD,2
BD,CND,2
CND,DMN,3
DMN,PLO,5
PLO,WR,5
WR,AJNI,2
KYN,LNL,1
LNL,PUNE,3
PUNE,URI,1
URI,DD,1
DD,KWV,2
KWV,SUR,1
SUR,AKOR,1
AKOR,DUD,1
DUD,GUR,2
GUR,GR,2
GR,SDB,3
SDB,WADI,3
WADI,NW,2
NW,YG,3
YG,SADP,2
SADP,KSN,1
KSN,RC,1
RC,MALM,5
MALM,AD,4
AD,GTL,4
GTL,GY,2
GY,ATP,2
ATP,DMM,6
DMM,SSPN,2
SSPN,PKD,2
PKD,HUP,3
HUP,GBD,4
GBD,DBU,3
DBU,YNK,3
YNK,BNCE,1
BNCE,BNC,5
BNC,SBC,9
HYB,LPI,1
LPI,VKB,3
VKB,TDU,5
TDU,WADI,3
MRJ,ARAG,1
ARAG,SGRE,1
SGRE,KVK,1
KVK,DLGN,1
DLGN,JTRD,1
JTRD,MSDG,1
MSDG,SGLA,1
SGLA,PVR,1
PVR,MLB,2
MLB,KWV,2
KWV,MA,1
MA,MO,1
MO,SUR,1
JHS,DAA,1
DAA,DBA,1
DBA,GWL,3
GWL,BIX,1
BIX,ETW,1
KKDE,KUN,2
KUN,PNP,2
PNP,SMK,1
SMK,SNP,1
SNP,SZM,1
SZM,NDLS,1
NDLS,NZM,5
NZM,FDB,4
FDB,PWL,1
PWL,KSV,5
KSV,CHJ,4
CHJ,MTJ,4
PNBE,PNC,10
PNC,MKA,1
MKA,HTZ,3
HTZ,LKR,1
LKR,JMU,1
JMU,JAJ,3
JAJ,JSME,7
JSME,MDP,8
MDP,JMT,2
JMT,CRJ,3
CRJ,ASN,6
ASN,DGR,6
DGR,HWH,2
TNA,PNVL,6
PNVL,CHI,1
CHI,RN,2
RN,KKW,2
KKW,KUDL,1
KUDL,THVM,2
THVM,MAO,3
MAO,THVM,3
THVM,KUDL,2
KUDL,KKW,2
KKW,RN,3
RN,CHI,4
CHI,PNVL,4
PNVL,TNA,6
ASR,BEAS,4
BEAS,JUC,4
JUC,PGW,4
PGW,LDH,4
LDH,SIR,1
SIR,UMB,1
UMB,YJUD,4
YJUD,SRE,6
SRE,RK,5
RK,HW,4
NDLS,GZB,3
GZB,MTC,3
MTC,MOZ,4
MOZ,DBD,4
DBD,TPZ,1
TPZ,RK,1
HW,DDN,3
AII,KSG,6
KSG,FL,4
FL,RGS,1
RGS,NMK,1
NMK,NNL,2
NNL,RE,1
RE,GGN,3
GGN,DEC,8
DEC,NZM,1
KYN,NK,1
MMR,AWB,1
CAN,TLY,2
TLY,BDJ,2
BDJ,CLT,1
CLT,TIR,1
TIR,SRR,1
SRR,TCR,3
TCR,ERN,3
ERN,KTYM,8
KTYM,TRVL,5
TRVL,CNGR,7
CNGR,MVLK,4
MVLK,KYJ,5
KYJ,QLN,5
QLN,TVC,2
NHLN,HMY,1
HMY,VNE,1
VNE,RPAN,1
RPAN,ULG,1
ULG,TNL,1
TNL,RNY,1
RNY,GHY,1
GHY,RNY,2
RNY,TNL,1
TNL,ULG,1
ULG,RPAN,1
RPAN,VNE,1
VNE,HMY,1
HMY,NHLN,1
PUNE,DD,7
DD,KPG,1
KPG,MMR,10
MMR,BSL,11
BSL,KNW,7
KNW,ET,5
ET,BPL,7
BPL,BINA,8
BINA,JHS,7
JHS,ORAI,5
ORAI,CNB,3
CNB,LJN,3
AMI,DMN,1
AJNI,WR,2
WR,PLO,5
PLO,DMN,5
DMN,AMI,2
JBP,KTE,7
KTE,DMO,2
DMO,SGO,1
SGO,JHS,1
JHS,GWL,5
GWL,NZM,1
NZM,GWL,1
GWL,JHS,6
JHS,SGO,1
SGO,DMO,4
DMO,KTE,2
CSMT,KJT,1
KJT,LNL,3
LNL,SVJR,2
HWH,KGP,10
KGP,TATA,2
TATA,CKP,2
CKP,ROU,3
ROU,JSG,6
JSG,BRJN,3
BRJN,RIG,2
RIG,CPH,3
CPH,BSP,4
BSP,R,4
R,DURG,4
DURG,RJN,5
RJN,G,3
G,TMR,1
TMR,BRD,3
BRD,NGP,1
NGP,WR,2
WR,BD,2
BD,AK,4
AK,SEG,3
SEG,MKU,2
MKU,BSL,2
BSL,JL,10
JL,MMR,3
SNSI,KPG,1
MMR,NK,3
NK,IGP,2
IGP,KYN,3
NGP,AJNI,3
DMN,BD,1
JL,CSN,1
CSN,MMR,1
KYN,KSRA,1
KSRA,IGP,1
NK,NR,1
NR,LS,1
LS,MMR,1
MMR,NGN,1
NGN,CSN,1
CSN,PC,1
PC,JL,1
JL,BSL,7
BSL,VNA,3
VNA,BDWD,1
BDWD,MKU,1
MKU,NN,1
NN,JM,3
JM,SEG,3
SEG,AK,6
WR,SEGM,2
SEGM,SNI,1
SNI,AJNI,1
AJNI,NGP,2
AJNI,SNI,2
SNI,SEGM,2
SEGM,WR,2
DMN,CND,2
CND,BD,2
BD,MZR,2
MZR,AK,2
SEG,JM,2
JM,NN,2
NN,MKU,2
MKU,BDWD,2
BDWD,VNA,1
VNA,BSL,1
JL,PC,3
PC,CSN,3
CSN,NGN,3
NGN,MMR,3
MMR,LS,4
LS,NR,2
NR,NK,2
NK,DVL,5
DVL,IGP,4
IGP,KSRA,4
